Position,Name,Team,Age,90s Played,Appearances,Minutes Played,Starting Appearances,Assists,Key Passes,Open Play Assists,Open Play Key Passes,Open Play xG Assisted,Set Piece Assists,Set Piece Key Passes,Set-Piece xG Assisted,xG Assisted,Dispossessed,Dribble%,Dribbles,Failed Dribbles,Fouls Won,Penalty wins,Successful Dribbles,Turnovers,Over/Underperformance,Scoring Contribution,Shots & Key Passes,xG & xG Assisted,Goal Conversion%,Goals & Penalty Goals,Non-Penalty Goals,Penalty Conversion%,Post Shot xG,Shooting%,Shots,Shot Touch%,xG,xG/Shot,Red Cards,Second Yellow Cards,Yellow Cards,Aggressive Actions,Average Defensive Action Distance,Ball Recoveries,Blocks/Shot,Clearances,Defensive Action Regains,Defensive Actions,Interceptions,Opposition Half Ball Recoveries,PAdj Clearances,PAdj Interceptions,Aerial Win%,Aerial Wins,Dribbled Past,Dribbles Successfully Defended%,Errors,Fouls,PAdj Tackles,PAdj Tackles & Interceptions,Tack/Dribbled Past%,Tackles,Tackles & Interceptions,Average Pressure Distance,Counterpressure Regains,Counterpressures,Counterpressures in Opposing Half,Counterpressures in Opposing Half%,PAdj Pressures,Pressure Regains,Pressures,Pressures in Opposing Half,Pressures in Opposing Half%,Crossing%,Deep Completions,Open Play Final Third Passes,OP Passes Into Box,Passes Inside Box,Passes Into Box,Passes + Touches In Box,Set Piece Passes Into Box,Successful Box Cross%,Successful Crosses,Throughballs,Touches In Box,Carries,Carry%,Carry Length,Deep Progressions,xGBuildup,xGChain,Final Third Pass Backward%,Final Third Pass Forward%,Final Third Pass Sideways%,Pass Backward%,Pass Forward%,Pass Sideways%,Average Pass Distance,Being Pressured Change in Pass%,Left to Right Footedness%,Long Ball%,Long Balls,Open Play Passes,Passes Being Pressured%,Passing%,Pressured Long Balls,Pressured Pass%,Unpressured Long Balls,Being Pressured Change in Pass Length,Pass Length,Pass Length Ratio,Pressured Pass Length,Pressured Pass Length Ratio,Successful Pass Length,Successful Pressured Pass Length,Claims - CCAA%,Goalkeeper Aggressive Distance,Pass into Danger%,Pass into Pressure%,Positive Outcome,Positive Outcome%,All Shots Faced,Expected Save%,Goals Conceded,Goals Saved Above Average,Penalties Conceded,Penalties Faced,Positioning Error,PSxG Faced,Save%,Shots Faced,Shots Faced On Target%,Shot Stopping%,xG Faced,Defensive Action OBV,Dribble & Carry OBV,Goalkeeper OBV,OBV,Pass OBV,Shot OBV,Average SRI,Average SRI F2,Average SRI F3,BRIS 10m%,BRIS 2m%,BRIS 5m%,BRIS F2 10m%,BRIS F2 2m%,BRIS F2 5m%,BRIS F3 10m%,BRIS F3 2m%,BRIS F3 5m%,LBP,LBP Completed,LBP Completed %,LBP Completed F2,LBP Completed F2%,LBP Completed F3,LBP Completed F3%,LBP F2,LBP F3,LBP OBV,LBP OBV F2,LBP OBV F3,LBP/Pass%,LBP/Pass F2%,LBP/Pass F3%,LBP Received,LBP Received F2,LBP Received F3,LBP Avg Dist,LBP Avg Dist in F2,LBP Avg Dist in F3,LBP Received 10m,LBP Received 10m in F2,LBP Received 10m in F3,LBP Received 2m,LBP Received 2m in F2,LBP Received 2m in F3,LBP Received 5m,LBP Received 5m in F2,LBP Received 5m in F3,LBP Received Avg Dist,LBP Received Avg Dist in F2,LBP Received Avg Dist in F3,LBP to Space 10m,LBP to Space 10m in F2,LBP to Space 10m in F3,LBP to Space 2m,LBP to Space 2m in F2,LBP to Space 2m in F3,LBP to Space 5m,LBP to Space 5m in F2,LBP to Space 5m in F3
Full Back,Aaron Acloque,Miami FC,27,0.6394444,1,57.55,1,0,0,0,0,0,0,0,0,0,0,0,1.5638576,1.5638576,0,0,0,1.5638576,0,0,0,0,,0,0,,0,,0,0,0,,0,0,0,7.819288,35.002472,6.25543,0,1.5638576,6.25543,14.0747175,4.6915727,3.127715,0.6851392,2.0554175,,0,1.5638576,0.6666667,0,1.5638576,1.3702784,3.425696,0.666666667,3.127715,7.819288,37.074684,1.5638576,3.127715,3.127715,1,4.110835,3.127715,9.383145,4.6915727,0.5,0,0,6.25543,0,0,0,0,0,,0,0,0,28.149435,0.9444444,4.0022016,6.25543,0.16206183,0.16206183,0.25,0.25,0.5,0.035714286,0.464285714,0.5,43.387512,0.35714287,0.166666667,0.4,3.127715,31.277151,0.071428571,0.642857143,1.5638576,1,7.819288,-10.443075,23.75072806,0.91451424,13.30765247,1,21.7203793,13.30765247,0,0,0.2857143,0.14285715,1.5638576,0.10638298,0,0,0,0,0,0,0,0,0,0,,,0,0.08305578,0.06816667,,0.42812288,0.2769004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Full Back,Aaron Edwards,Sacramento Republic,23,6.0164814,17,541.48334,4,0,0.6648404,0,0.4986303,0.026133485,0,0.1662101,0.011040133,0.037173618,0.8310505,0.27272728,1.8283112,1.3296808,2.6593616,0,0.4986303,2.8255718,0.10945577,0.1662101,1.1634707,0.05675433,0.333333333,0.1662101,0.1662101,,0.00314393,0.333333333,0.4986303,0.002583979,0.019580705,0.039268985,0,0.1662101,0.6648404,8.975346,41.42954,8.144295,0.018867925,1.662101,3.157992,19.779003,1.1634707,3.157992,1.3675165,1.0065135,0.411764706,1.1634707,0.8310505,0.44444445,0,2.3269415,1.3019233,2.3084364,0.666666667,1.662101,2.8255718,44.31177,0.6648404,3.157992,2.4931514,0.7894737,14.3710785,2.4931514,15.956169,5.983564,0.375,0.217391304,0.6648404,12.964388,1.495891,0.3324202,1.9945211,3.4904122,0.4986303,0.333333333,0.8310505,0,1.9945211,29.917818,0.8833333,5.229097,2.4931514,0.5134934,0.530135,0.269230769,0.102564103,0.628205128,0.210300429,0.231759657,0.557939914,60.8322,0.05851216,0.154411765,0.342105263,2.1607313,31.41371,0.128755365,0.708154506,1.662101,0.766666667,6.315984,-6.047748,20.30951373,0.85129195,14.26176548,0.92172927,17.28932588,13.14548683,0,0,0.2446352,0.08583691,5.2854815,0.37857145,0,0,0,0,0,0,0,0,0,0,,,0,-0.01661029,0.068544015,,0.21801135,0.19191284,-0.025835251,6.8965635,7.2158074,7.362619,0.2631579,0.8684211,0.56578946,0.29508197,0.8852459,0.6229508,0.30769232,0.8974359,0.61538464,5.5597506,2.5945501,0.46666667,2.2239,0.42857143,1.8532501,0.35714287,5.1891003,5.1891003,0.079772145,0.07855478,0.07780516,0.18292683,0.23728813,0.42424244,3.7065003,3.7065003,2.5945501,4.0459476,4.4333334,3.305,0,0,0,2.5945501,2.5945501,1.8532501,1.4826001,1.4826001,0.74130005,3.9922268,3.9922268,4.3275,0,0,0,1.4826001,1.11195,0.74130005,0.37065002,0.37065002,0
Centre Back,Aarón Guillén,Tampa Bay Rowdies,32,28.565926,28,2570.9333,25,0,0.31506068,0,0.31506068,0.015768258,0,0,0,0.015768258,0.21004045,0.61538464,0.45508763,0.1750337,1.5402966,0,0.2800539,0.38507414,0.008930384,0.03500674,0.5601078,0.02607636,0.142857143,0.03500674,0.03500674,,0.034850523,0.428571429,0.2450472,0.0015273,0.0103081,0.042065774,0,0,0.1750337,6.3012137,30.401604,8.716679,0.04620462,3.3606472,3.9557617,11.2371645,1.085209,2.5554922,3.3296256,1.2459275,0.633333333,1.3302562,0.38507414,0.59090906,0,1.1552225,1.1957357,2.4416633,0.755555556,1.1902293,2.2754383,36.72389,0.45508763,1.9253708,0.91017526,0.47272727,9.164622,2.8005393,8.926719,2.7655327,0.30980393,0.333333333,0.07001348,6.0211596,0.3500674,0.03500674,0.3500674,0.7701483,0,0.4,0.1750337,0,0.4200809,37.737267,0.98608536,4.2955704,4.1307955,0.29283825,0.2967178,0.046511628,0.395348837,0.558139535,0.048057933,0.30283081,0.649111257,39.562332,-0.1051228,0.849820144,0.507936508,3.3606472,46.874027,0.103357472,0.8439763,4.095789,0.738853503,5.881133,-0.44391608,21.46441301,0.9148164,21.02049637,0.8919146,19.63599661,18.74848747,0,0,0.17379855,0.084924296,3.8787475,0.32041642,0,0,0,0,0,0,0,0,0,0,,,0,-0.024741985,0.042701665,,0.117976904,0.09844269,0.001574566,10.991748,11.111069,10.476171,0.57961786,0.9808917,0.8757962,0.59090906,0.9818182,0.8909091,0.42857143,0.85714287,0.85714287,6.936193,3.8149066,0.55,1.3872386,0.64,0.26010725,0.6,2.1675606,0.43351206,0.045074172,0.02276819,0.01750944,0.17977528,0.17730497,0.1923077,0.26010725,0.17340483,0,5.875941,6.0950403,2.217428,0.086702414,0.086702414,0,0.26010725,0.17340483,0,0.17340483,0.086702414,0,7.576667,6.74,,0.26010725,0.17340483,0,2.7744772,1.040429,0.17340483,1.4739411,0.43351206,0
Midfielder,Aaron Hurge,Loudoun United,18,0.3187037,2,28.683334,0,3.1377106,3.1377106,3.1377106,3.1377106,0.29436648,0,0,0,0.29436648,0,,0,0,3.1377106,0,0,6.275421,2.843344,3.1377106,3.1377106,0.29436648,,0,0,,0,,0,0,0,,0,0,0,25.101685,28.094286,0,0,0,6.275421,31.377106,0,0,0,0,,0,0,,0,3.1377106,0,0,,0,0,28.807539,0,3.1377106,0,0,41.004234,6.275421,28.239393,0,0,,0,3.1377106,3.1377106,0,3.1377106,3.1377106,0,0,0,0,0,25.101685,0.75,3.449617,3.1377106,0,0.29436648,0,1,0,0.6,0.2,0.2,55.61786,-0.3,0.25,,0,15.688553,0.4,0.8,0,0.5,0,-1.5535969,17.45207062,1.0024395,15.89847374,0.91299105,17.49464417,14.51516438,0,0,0.2,0.2,3.1377106,0.4,0,0,0,0,0,0,0,0,0,0,,,0,0.046327066,-0.16236447,,-0.13275732,-0.016719883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midfielder,Aaron Molloy,Charleston Battery,28,31.075184,29,2796.7666,27,0.19308011,1.3515607,0.06436004,0.8366805,0.05987637,0.12872007,0.5148803,0.050683264,0.11055962,0.64360034,0.64,0.80450046,0.28962016,1.673361,0,0.5148803,0.93322057,0.08792944,0.25744015,2.7031214,0.16951069,0.047619048,0.06436004,0.06436004,,0.069717824,0.285714286,1.3515607,0.006110458,0.058951087,0.043617044,0,0,0.28962016,11.906606,42.14597,10.2976055,0.006802721,1.2550207,6.8221636,22.332933,1.2872007,4.4408426,1.7761754,1.7059926,0.571428571,0.9010405,0.93322057,0.325,0.06436004,1.3837408,2.4755166,4.1815095,0.666666667,1.8664411,3.1536417,43.924305,1.2550207,5.438423,2.9605615,0.5443787,25.495855,5.438423,19.114931,7.240504,0.37878788,0.34375,0.06436004,11.777887,0.67578036,0.096540056,1.2550207,1.1584806,0.5792403,0.282051282,0.3539802,0.06436004,0.48270026,60.273174,0.97650826,4.2744174,7.8841047,0.551787,0.57455546,0.071038251,0.245901639,0.683060109,0.07605042,0.166386555,0.757563025,44.586346,0.003514739,0.105159705,0.735368957,9.300025,69.50884,0.185294118,0.878571429,2.6065814,0.882086168,11.295186,-3.47302,23.00096179,0.97243446,19.52794075,0.98371494,22.36692783,19.20992661,0,0,0.15588236,0.07815126,8.077185,0.48111942,0,0,0,0,0,0,0,0,0,0,,,0,0.029237112,0.08869637,,0.20580988,0.11433759,-0.026461221,7.8166614,7.07711,5.4789476,0.27286357,0.9535232,0.7031484,0.19202898,0.9384058,0.64492756,0.10666667,0.93333334,0.48,12.592393,8.776517,0.6969697,4.96064,0.74712646,1.6026683,0.5,6.639626,3.2053366,0.12955175,0.10797971,0.087225005,0.18922019,0.2815534,0.5121951,3.586924,1.9079385,0.992128,4.8954906,4.7300825,3.981018,0.30527014,0.076317534,0,3.0527015,1.6026683,0.839493,1.2210805,0.6105403,0.15263507,5.407048,5.0207143,3.596542,0.38158768,0.38158768,0.076317534,6.334356,3.586924,1.0684456,2.5184789,1.0684456,0.2289526
Centre Back,Abdelkabir Abqar,Deportivo Alavés,26,30.445925,29,2740.1333,29,0.032845117,0.1970707,0.032845117,0.1970707,0.005045826,0,0,0,0.005045826,0.09853535,0.5,0.26276094,0.13138047,1.1495792,0.032845117,0.13138047,0.42698652,-0.002936233,0.032845117,0.59121215,0.035781346,0,0,0,,0.022124562,0.083333333,0.3941414,0,0.030735524,0.07798096,0,0,0.42698652,5.8464313,26.87227,9.098097,0.090252708,4.532626,3.7771888,10.411902,1.5437206,1.8721716,3.5013485,1.3091856,0.579545455,1.675101,0.29560608,0.78571427,0,1.8393265,0.9254991,2.2346847,0.804347826,1.2152693,2.7589898,32.290462,0.29560608,1.5108755,0.72259253,0.47826087,6.0581613,1.937862,7.357306,1.4123402,0.19196428,0.333333333,0.032845117,2.6932995,0.26276094,0.032845117,0.26276094,1.4123402,0,0.125,0.032845117,0.065690234,1.1495792,22.13761,0.9777448,5.8795257,2.5619192,0.29699504,0.30805275,0.012195122,0.536585366,0.451219512,0.038865546,0.294117647,0.667016807,36.92567,-0.12841387,0.077496274,0.495967742,4.0399494,29.626297,0.134453782,0.784663866,5.6822057,0.65625,6.99601,0.17044804,28.1930106,0.8613189,28.36345863,0.8572214,24.28317175,24.31376457,0,0,0.1869748,0.0882353,2.4403918,0.19293688,0,0,0,0,0,0,0,0,0,0,,,0,0.056729596,0.028960934,,0.11082614,0.04576381,-0.02062822,12.688305,11.089228,4.676961,0.6964657,0.985447,0.92931396,0.5862069,0.94827586,0.8448276,0.125,0.625,0.375,7.4558415,3.350202,0.4493392,0.98535347,0.5084746,0.13138047,0.36363637,1.937862,0.36129627,0.033788692,0.013924565,0.002257702,0.2741546,0.43703705,0.36666667,0.065690234,0.065690234,0.032845117,5.0212793,4.894242,4.3374224,0,0,0,0.065690234,0.065690234,0.032845117,0.032845117,0.032845117,0.032845117,5.066627,5.066627,7.053434,0.065690234,0.032845117,0,2.0363972,0.62405723,0.09853535,0.75543773,0.22991581,0.032845117
Attacking Midfielder / Winger,Abdellatif Aboukoura,Loudoun United,21,23.03648,26,2073.2832,23,0.08681882,1.5193294,0.04340941,0.9115976,0.06921471,0.04340941,0.60773176,0.056733076,0.12594777,2.2138798,0.53409094,3.8200278,1.7797859,1.1286446,0.04340941,2.0402422,3.7766187,0.08026493,0.4340941,4.210713,0.35382918,0.129032258,0.5209129,0.3472753,1,0.22284606,0.403225806,2.6913834,0.031457955,0.22788142,0.084670736,0,0,0.08681882,9.940755,55.237076,5.8602705,0.008333333,0.3906847,4.6013975,19.577644,0.6945506,3.6463904,0.46055135,0.8444072,0.342857143,0.5209129,0.3472753,0.3846154,0,0.5209129,1.3519436,2.1963508,0.757575758,1.0852352,1.7797859,56.611877,1.0852352,3.6463904,2.9952493,0.8214286,21.271269,3.7332091,18.014906,10.852352,0.60240966,0.166666667,0.5643223,12.892594,1.6061481,0.4340941,2.430927,5.6866326,0.8247788,0.071428571,0.30386588,0.04340941,4.0804844,36.550724,0.85391927,5.7444243,4.4711695,0.48047844,0.6348687,0.101010101,0.215488215,0.683501684,0.160714286,0.164285714,0.675,62.960438,0.012024379,0.108589951,0.383838384,1.6495576,31.602049,0.248809524,0.763095238,0.7379599,0.775119617,3.950256,-3.985192,18.67300618,0.90185,14.68781376,0.9735832,16.84025052,14.29980946,0,0,0.24047619,0.09642857,6.6025715,0.4077748,0,0,0,0,0,0,0,0,0,0,,,0,0.019169731,0.09418191,,0.25202727,0.12197334,0.016702311,5.3558307,5.36801,5.2674384,0.065656565,0.8636364,0.5151515,0.060402684,0.8724832,0.52348995,0.04950495,0.85148513,0.5247525,5.9321785,3.1221995,0.5263158,2.3416495,0.5,1.8733196,0.46153846,4.683299,4.0588593,0.052181333,0.044610135,0.04291383,0.20879121,0.24390244,0.34210527,8.429938,6.556619,3.5905294,3.6876798,3.603,3.603,0.15610997,0.15610997,0.15610997,5.7760687,4.8394094,2.3416495,2.4977596,2.1855397,1.2488798,4.208017,4.636868,4.820881,0,0,0,2.1855397,1.5610998,1.5610998,0.4683299,0.31221995,0.31221995
Attacking Midfielder / Winger,Abderrahman Rebbach,Deportivo Alavés,26,4.911296,8,442.01663,4,0,1.0180613,0,1.0180613,0.04971326,0,0,0,0.04971326,1.2216735,0.25,2.443347,1.8325102,1.2216735,0,0.61083674,4.6830816,-0.07846379,0,2.2397346,0.078463785,0,0,0,,0.002804896,0.166666667,1.2216735,0.018348624,0.028750528,0.023533724,0,0,0.20361225,10.180613,51.661453,6.7192044,0,1.0180613,3.257796,21.379286,0.20361225,3.8686326,0.7583039,0.11199231,0.1875,0.61083674,1.0180613,0.2857143,0,1.4252858,0.51479,0.6267823,0.5,1.0180613,1.2216735,53.266308,0,2.8505716,2.6469593,0.9285714,11.344083,2.6469593,18.93594,10.384225,0.5483871,0.363636364,0.61083674,5.904755,1.0180613,0.20361225,1.4252858,4.072245,0.4072245,0.428571429,0.814449,0,3.0541837,24.43347,0.775,6.261114,2.443347,0.3663685,0.41206434,0.206896552,0.103448276,0.689655172,0.165289256,0.132231405,0.702479339,60.119247,-0.20502225,0.151515152,0.5,1.8325102,22.397348,0.214876033,0.628099174,1.4252858,0.423076923,3.257796,-5.9793334,19.98457879,0.9627995,14.00524521,1.0837812,19.24114187,15.17862225,0,0,0.2892562,0.09917355,6.7599263,0.5045593,0,0,0,0,0,0,0,0,0,0,,,0,0.020373523,0.020087533,,0.07264194,0.08474306,-0.05256217,4.8758435,5.013074,5.9009824,0.11235955,0.80898875,0.40449437,0.13333334,0.8,0.38333333,0.20588236,0.7941176,0.47058824,4.886694,1.628898,0.33333334,1.4252858,0.4117647,1.0180613,0.41666666,3.4614081,2.443347,0.06804477,0.07468992,0.04133074,0.2264151,0.265625,0.31578946,3.257796,2.443347,1.628898,5.1255174,5.568614,6.285339,0,0,0,2.2397346,1.628898,1.2216735,0.4072245,0.20361225,0.20361225,3.6005464,3.8556323,4.5541115,0,0,0,1.0180613,0.814449,0.61083674,0.4072245,0.4072245,0.4072245
Attacking Midfielder / Winger,Abde Ezzalzouli,Real Betis,23,23.807962,32,2142.7166,23,0.08400551,0.9660634,0.08400551,0.92406064,0.06856232,0,0.042002756,0.001937917,0.07050024,2.6881764,0.50617284,3.402223,1.6801102,2.1421406,0.08400551,1.722113,4.2002754,-0.18996817,0.16801102,3.5282314,0.35797924,0.032786885,0.08400551,0.08400551,0,0.23902842,0.393442623,2.5621681,0.032115869,0.28747895,0.112201441,0,0,0.08400551,9.324612,49.504997,6.1324024,0.026086957,0.504033,3.7802482,19.489279,0.42002755,3.7382452,0.42636168,0.35023484,0.423076923,1.386091,0.504033,0.53846157,0,1.0500689,1.2413,1.5915346,0.739130435,1.4280938,1.8481213,51.463593,0.2520165,2.1421406,1.5961049,0.74509805,17.005356,2.9821956,17.011116,9.030593,0.5308642,0.15,0.79805243,11.760772,0.8400551,0.63004136,0.88205785,6.9304547,0.042002756,0.095238095,0.3780248,0.042002756,6.0903993,37.04643,0.82426304,6.984582,4.1582727,0.4974416,0.69481105,0.182142857,0.107142857,0.710714286,0.168449198,0.120320856,0.711229947,63.88869,-0.046791445,0.088582677,0.424242424,0.58803856,30.536003,0.25,0.725935829,0.88205785,0.679144385,1.008066,-0.27326125,15.04842079,0.9506199,14.77515984,0.9663812,14.30532775,14.27843666,0,0,0.263369,0.12700535,5.2461457,0.31209403,0,0,0,0,0,0,0,0,0,0,,,0,0.018512752,0.22438568,,0.20289625,-0.039155122,-8.47E-04,5.335351,5.439659,5.2583694,0.09612626,0.8493544,0.45050216,0.09515571,0.8615917,0.47404844,0.087878786,0.8484849,0.46363637,5.502361,3.0662012,0.55725193,2.394157,0.5533981,1.3440882,0.4923077,4.326284,2.730179,0.011001577,0.008205982,0.002690918,0.19236417,0.20077972,0.20833333,7.30848,6.174405,3.8222508,4.148854,3.963511,3.6583042,0.33602205,0.21001378,0.12600826,5.2083416,4.494295,2.772182,1.8061184,1.5120991,0.92406064,3.9922035,3.9654274,4.1436915,0.042002756,0,0,2.1421406,1.6381075,0.7140469,0.58803856,0.33602205,0.12600826
Full Back,Abdi Mohamed,Oakland Roots SC,29,5.2887034,8,475.9833,3,0,0.18908226,0,0.18908226,0.006563686,0,0,0,0.006563686,0,0.5,1.1344935,0.56724674,0.56724674,0,0.56724674,2.0799048,-0.006563686,0,0.18908226,0.006563686,,0,0,,0,,0,0,0,,0,0,0.18908226,5.86155,31.989796,10.399525,0.059701493,1.3235759,3.592563,10.399525,0.94541126,2.6471517,1.1083419,0.71425086,0.642857143,1.7017404,0.75632906,0.6,0.37816453,0.37816453,0.6664363,1.3806871,0.5,0.75632906,1.7017404,37.855743,0.18908226,1.1344935,0.75632906,0.6666667,7.4912033,2.4580693,9.265031,3.0253162,0.3265306,0.333333333,0,5.4833856,0.56724674,0,0.75632906,0.94541126,0.18908226,0.25,0.18908226,0,0.37816453,33.845726,0.94413406,3.5362968,3.2143986,0.04154348,0.04154348,0.137931034,0.379310345,0.482758621,0.100671141,0.338926174,0.560402685,44.44504,-0.3201805,0.131428571,0.3,2.268987,44.623413,0.097315436,0.768456376,2.268987,0.448275862,6.6178794,-1.4258852,20.42395101,0.8546248,18.99806595,0.68860966,17.45481479,13.08225155,0,0,0.2785235,0.17114094,2.004272,0.23296703,0,0,0,0,0,0,0,0,0,0,,,0,0.0348558,0.007053448,,0.18427478,0.1423655,,13.953333,13.415,,0.75,1,1,1,1,1,,,,21.343872,10.671936,0.5,5.335968,0.5,0,,10.671936,0,0.22061838,0.1966168,,0.33333334,0.5,,0,0,0,4.525,6.8,,0,0,0,0,0,0,0,0,0,,,,0,0,0,10.671936,5.335968,0,5.335968,5.335968,0
Centre Back,Abdi Salim,San Antonio,24,5.163519,11,464.7167,3,0,0,0,0,0,0,0,0,0,0,0,0.19366637,0.19366637,0.58099914,0,0,0.58099914,-0.1408818,0,1.7429973,0.14088182,0,0,0,,0.09827114,0.333333333,1.7429973,0.005037783,0.14088182,0.080827329,0,0,0.38733274,3.8733275,24.52523,6.778323,0.055555556,2.9049957,3.2923284,8.327654,0,1.549331,3.459531,0,0.695652174,3.098662,0.19366637,0.6666667,0,0.9683319,1.8888758,1.8888758,0.888888889,1.549331,1.549331,27.466612,0.19366637,0.38733274,0,0,6.287552,2.7113292,5.8099914,0.7746655,0.13333334,0,0.38733274,1.3556646,0.19366637,0.19366637,0.19366637,4.4543266,0,0,0,0,4.26066,32.14862,0.9819277,3.718014,0.38733274,0.3630833,0.3867338,0.285714286,0,0.714285714,0.033333333,0.161904762,0.804761905,32.77943,-0.12104455,0.43575419,0.666666667,1.549331,37.764942,0.147619048,0.895238095,3.4859946,0.774193548,1.7429973,-1.1731093,21.364488,0.97324973,20.19137955,0.97063553,20.79298174,19.59847069,0,0,0.123809524,0.08095238,3.098662,0.20725386,0,0,0,0,0,0,0,0,0,0,,,0,0.09315895,0.020874808,,0.09514048,0.086256236,-0.10514955,12.965517,6.29,1.76125,0.7809524,0.95238096,0.8952381,0.30769232,0.61538464,0.3846154,0,0.375,0,4.6230793,2.4331996,0.5263158,0.24331996,0.5,0,0,0.48663992,0.24331996,-2.76E-04,0.002339718,,0.12666667,0.15384616,0.2,0.7299599,0.7299599,0.7299599,6.4266667,7.78,,0,0,0,0,0,0,0,0,0,,,,0.48663992,0,0,1.4599198,0.24331996,0,0.97327983,0.24331996,0
Striker,Abdón Prats,Mallorca,32,6.5024076,24,585.2167,3,0,0.46136758,0,0.46136758,0.024335062,0,0,0,0.024335062,1.8454703,0.75,0.61515677,0.15378919,2.921995,0.15378919,0.46136758,2.3068378,-0.069619514,0.15378919,2.460627,0.22340871,0.076923077,0.30757838,0.15378919,1,0.15974893,0.307692308,1.9992595,0.055276382,0.19907364,0.099573686,0,0,0.61515677,5.6902,59.79811,4.921254,0,0.768946,1.9992595,13.225871,0.46136758,2.6144164,0.6784265,0.21212904,0.295081967,2.7682054,0.30757838,0,0,1.0765244,0.15122959,0.36335865,0.5,0.30757838,0.768946,63.045803,0.46136758,2.6144164,1.9992595,0.7647059,10.897791,1.537892,11.995558,8.765985,0.7307692,,0.61515677,2.7682054,0.30757838,0,0.30757838,5.6902,0,0,0,0.15378919,5.382622,12.918292,0.7380952,2.750376,0.61515677,0.1986741,0.3476712,0.277777778,0.055555556,0.666666667,0.162790698,0.104651163,0.73255814,55.37601,-0.06915545,0.613636364,0.666666667,0.61515677,12.610714,0.441860465,0.674418605,0.92273515,0.605263158,0.768946,-1.2726134,14.88313045,0.9811957,13.61051655,0.95155525,14.60326307,12.95115852,0,0,0.26744187,0.11627907,2.691311,0.20396271,0,0,0,0,0,0,0,0,0,0,,,0,-0.003725996,-0.040712815,,-0.10990116,-0.03610939,-0.029352963,2.3783152,2.2215781,2.0659244,0,0.5060241,0.072289154,0,0.48333332,0.06666667,0,0.4827586,0.03448276,1.3841027,0.61515677,0.44444445,0.30757838,0.5,0.30757838,1,0.61515677,0.30757838,0.004218055,0.003790245,0.00680475,0.12162162,0.08695652,0.10526316,7.6894593,5.6902,2.6144164,6.0084767,2.9815035,2.9815035,0,0,0,3.6909406,2.6144164,1.0765244,0.46136758,0.46136758,0.15378919,2.8855505,2.9516895,2.8455322,0.15378919,0,0,0.61515677,0.30757838,0.30757838,0.30757838,0,0
Centre Back,Abdoulaye Cissoko,FC Tulsa,26,24.8963,27,2240.667,23,0,0.040166613,0,0.040166613,0.003506381,0,0,0,0.003506381,0.16066645,0.5,0.080333225,0.040166613,1.5664979,0,0.040166613,0.28116626,-0.06479141,0,0.68283236,0.06479141,0,0,0,,0,0,0.6426658,0.003149606,0.061285034,0.095360659,0,0,0.4418327,4.378161,26.703327,9.760487,0.104803493,4.61916,3.4543285,9.358821,1.0844985,1.646831,3.2013388,0.69490045,0.586466165,3.1329958,0.40166613,0.55,0.080333225,1.6066645,0.82455856,1.519459,0.736842105,1.124665,2.2091637,33.026638,0.24099967,1.2049984,0.68283236,0.56666666,4.6025653,1.7271643,6.7479906,1.4058315,0.20833333,0,0.28116626,1.445998,0.080333225,0.16066645,0.080333225,2.4099967,0,0,0,0,2.3296635,18.155308,0.9778761,4.1261377,1.1648318,0.30867854,0.31120932,0.055555556,0.361111111,0.583333333,0.025885559,0.252043597,0.722070845,36.845448,-0.13987285,0.257088847,0.55,2.2091637,27.232962,0.163487738,0.80653951,4.9806595,0.666666667,3.6551616,-3.7874672,24.52348806,0.95706403,20.73602104,1.0295693,23.47054806,21.34917068,0,0,0.22070844,0.09536785,2.546563,0.15222089,0,0,0,0,0,0,0,0,0,0,,,0,0.007796159,-0.001584944,,-0.03294441,0.011784676,-0.050940316,12.41606,7.5458503,2.738389,0.6585366,0.9634146,0.902439,0.3846154,0.84615386,0.61538464,0,0.6,0.2,6.135757,3.4680367,0.5652174,0.8003162,0.6,0,,1.3338603,0,0.025255188,0.005544161,,0.23469388,0.33333334,0,0.4001581,0.4001581,0.4001581,4.9124107,5.5289297,,0,0,0,0.26677206,0.26677206,0.26677206,0.13338603,0.13338603,0.13338603,4.2228703,4.2228703,4.2228703,0.26677206,0.13338603,0,2.6677206,0.8003162,0,0.8003162,0.4001581,0
